ticker,first_price,last_price,total_return_pct
NVDA,15.86,193.50,1120.050400
AVGO,52.65,256.90,387.939200
EA,22.83,105.06,360.184000
ALGN,56.96,222.19,290.080800
NFLX,51.83,191.96,270.364700
ATVI,18.07,63.32,250.415100
LUV,18.88,65.45,246.663100
SWKS,27.40,94.95,246.532800
EW,32.96,112.71,241.960000
CNC,29.52,100.88,241.734400
LRCX,53.95,184.07,241.186300
STZ,69.24,228.57,230.112700
FB,54.71,176.46,222.537000
GPN,32.73,100.24,206.263400
CDNS,14.01,41.82,198.501100
IDXX,52.52,156.38,197.753200
UNH,74.57,220.46,195.641700
ADBE,59.29,175.24,195.564200
AMZN,397.97,1169.47,193.858800
AMAT,17.55,51.12,191.282100
ISRG,126.67,364.94,188.102900
MNST,22.26,63.29,184.321700
MAR,48.96,135.73,177.226300
NOC,113.23,306.91,171.050100
HII,87.91,235.70,168.115100
AET,67.56,180.39,167.007100
CTAS,59.06,155.83,163.850300
AMD,3.95,10.28,160.253200
EQIX,174.76,453.22,159.338500
MTD,241.53,619.52,156.498200
RCL,47.17,119.28,152.872600
ETFC,19.81,49.57,150.227200
CHTR,134.76,335.96,149.302500
ANTM,90.63,225.01,148.273200
TSN,33.17,81.07,144.407600
CBOE,50.98,124.59,144.390000
TXN,43.10,104.44,142.320200
HUM,102.84,248.07,141.219400
TSS,32.79,79.09,141.201600
CI,86.20,203.09,135.603200
DHI,21.83,51.07,133.944100
ULTA,95.91,223.66,133.197800
AVY,49.61,114.86,131.525900
HD,82.02,189.53,131.077800
DLR,49.47,113.90,130.240500
MSFT,37.16,85.54,130.193800
AOS,26.66,61.28,129.857500
FISV,58.20,131.13,125.309300
SHW,182.41,410.04,124.790300
URI,76.49,171.91,124.748300
ZTS,32.36,72.04,122.620500
MLM,99.54,221.04,122.061500
AWK,41.58,91.49,120.033700
LMT,146.07,321.05,119.791900
VMC,58.68,128.37,118.762800
SPGI,77.75,169.40,117.877800
ROST,37.14,80.25,116.074300
BA,136.67,294.91,115.782500
RHT,55.83,120.10,115.117300
GD,94.75,203.45,114.723000
AAPL,79.02,169.23,114.161000
IQV,45.80,97.90,113.755500
ADSK,49.25,104.83,112.852800
SWK,80.18,169.69,111.636300
RTN,88.78,187.85,111.590400
SNPS,40.42,85.24,110.885700
PGR,26.72,56.32,110.778400
EXR,41.79,87.45,109.260600
BSX,11.91,24.79,108.144400
INTU,75.94,157.78,107.769300
SYK,74.63,154.84,107.476900
HRS,68.48,141.65,106.848700
V,55.25,114.02,106.371000
AAL,25.36,52.03,105.165600
RSG,32.96,67.61,105.127400
ARE,63.73,130.59,104.911300
DPS,47.67,97.06,103.608100
VRTX,73.83,149.86,102.979800
ALB,63.14,127.89,102.549900
DAL,27.70,56.00,102.166100
ALK,36.59,73.51,100.901900
ITW,83.19,166.85,100.565000
PYPL,36.71,73.62,100.544800
APH,43.87,87.80,100.136800
XYL,34.16,68.20,99.648700
MCHP,44.17,87.88,98.958600
SCHW,25.82,51.37,98.954300
ILMN,110.34,218.49,98.015200
ANDV,57.96,114.34,97.274000
BDX,109.14,214.06,96.133400
NDAQ,39.20,76.83,95.994900
ALL,53.55,104.71,95.536900
WM,44.20,86.30,95.248900
HOLX,21.94,42.75,94.849600
CSX,28.25,55.01,94.725700
WAT,99.22,193.19,94.708700
MAS,22.69,43.94,93.653600
MCO,77.32,147.61,90.907900
VRSN,60.02,114.44,90.669800
PKG,63.25,120.55,90.592900
DLTR,56.40,107.31,90.266000
MU,21.66,41.12,89.843000
GOOGL,557.12,1053.40,89.079600
ACN,81.13,153.09,88.697200
MO,37.90,71.41,88.416900
PNC,76.60,144.29,88.368100
LLL,105.08,197.85,88.285100
LOW,49.44,92.94,87.985400
ROP,138.08,259.00,87.572400
GOOG,558.46,1046.40,87.372400
CME,77.96,146.05,87.339700
ORLY,128.76,240.54,86.812700
DGX,52.85,98.49,86.357600
CRM,54.86,102.23,86.347100
ABBV,51.98,96.71,86.052300
COL,73.11,135.62,85.501300
NEE,84.25,156.19,85.388700
CMA,46.85,86.81,85.293500
MHK,149.11,275.90,85.031200
INCY,51.23,94.71,84.872100
SBAC,88.42,163.36,84.754600
VLO,49.87,91.91,84.299200
BF.B,37.33,68.67,83.953900
HCA,47.77,87.84,83.881100
